Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.036440000000000694,10.1.0.4,10.1.0.6
0.036439999999999806,10.1.0.5,10.1.0.7
0.07763000000000009,10.1.0.2,10.1.0.7
0.060750000000000526,10.1.0.2,10.1.0.8
0.03709999999999969,10.1.0.2,10.1.0.7
0.4744200000000003,10.1.0.3,10.1.0.8
0.036430000000000184,10.1.0.1,10.1.0.8
0.04978999999999978,10.1.0.4,10.1.0.10
0.37796000000000074,10.1.0.3,10.1.0.6
1.8208700000000002,10.1.0.3,10.1.0.9
0.036440000000000694,10.1.0.1,10.1.0.8
0.05066999999999933,10.1.0.1,10.1.0.9
0.06551000000000062,10.1.0.5,10.1.0.8
0.036439999999999806,10.1.0.2,10.1.0.6
0.027790000000000425,10.1.0.1,10.1.0.10
0.036440000000000694,10.1.0.4,10.1.0.8
0.02766999999999964,10.1.0.2,10.1.0.8
1.0634400000000008,10.1.0.3,10.1.0.8
0.036450000000000315,10.1.0.4,10.1.0.10
0.02766999999999964,10.1.0.4,10.1.0.8
0.03727000000000036,10.1.0.1,10.1.0.9
0.036429999999999296,10.1.0.5,10.1.0.7
0.05884,10.1.0.5,10.1.0.7
0.027670000000000528,10.1.0.4,10.1.0.8
0.036450000000000315,10.1.0.2,10.1.0.10
0.06152999999999942,10.1.0.1,10.1.0.9
0.036439999999999806,10.1.0.5,10.1.0.7
0.05258999999999947,10.1.0.5,10.1.0.10
0.036460000000000825,10.1.0.5,10.1.0.10
1.3121899999999993,10.1.0.3,10.1.0.10
0.036440000000000694,10.1.0.2,10.1.0.9
0.036440000000000694,10.1.0.5,10.1.0.6
0.027770000000000294,10.1.0.2,10.1.0.6
0.044340000000000046,10.1.0.2,10.1.0.9
