Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.019000000000000128,10.1.0.4,10.1.0.8
0.027779999999999916,10.1.0.3,10.1.0.9
0.02778999999999998,10.1.0.4,10.1.0.10
0.9717699999999998,10.1.0.2,10.1.0.6
0.5233499999999998,10.1.0.2,10.1.0.7
0.039360000000000284,10.1.0.3,10.1.0.9
0.05975000000000019,10.1.0.5,10.1.0.7
0.023410000000000153,10.1.0.3,10.1.0.7
0.9065000000000003,10.1.0.2,10.1.0.8
1.0522900000000002,10.1.0.2,10.1.0.7
0.02336999999999989,10.1.0.5,10.1.0.9
0.4060800000000002,10.1.0.2,10.1.0.6
0.027779999999999916,10.1.0.3,10.1.0.6
0.6064800000000004,10.1.0.2,10.1.0.7
0.01899999999999924,10.1.0.3,10.1.0.7
0.019010000000000637,10.1.0.1,10.1.0.6
0.9427300000000001,10.1.0.2,10.1.0.9
0.0451599999999992,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.4,10.1.0.8
1.8204599999999997,10.1.0.2,10.1.0.10
0.01900999999999975,10.1.0.5,10.1.0.6
0.01900999999999975,10.1.0.3,10.1.0.7
0.019010000000000637,10.1.0.5,10.1.0.10
1.38105,10.1.0.2,10.1.0.9
0.01900999999999975,10.1.0.5,10.1.0.8
0.01900999999999975,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.1,10.1.0.6
0.01900999999999975,10.1.0.5,10.1.0.8
0.01900999999999975,10.1.0.5,10.1.0.6
0.01900999999999975,10.1.0.1,10.1.0.10
0.019000000000000128,10.1.0.5,10.1.0.8
0.019010000000000637,10.1.0.3,10.1.0.10
0.019000000000000128,10.1.0.1,10.1.0.6
0.01899999999999835,10.1.0.5,10.1.0.8
0.02336000000000027,10.1.0.5,10.1.0.9
0.01900999999999975,10.1.0.4,10.1.0.7
0.01900999999999975,10.1.0.1,10.1.0.9
